CustomerID,Gender,Age,Annual Income (Rs. Thousands),Spending Score (1-100)
1,Male,36,917,60
2,Male,28,712,61
3,Male,32,355,62
4,Female,46,253,37
5,Female,50,547,47
6,Female,42,427,44
7,Male,46,195,35
8,Male,19,237,89
9,Female,24,399,87
10,Male,50,543,60
11,Male,31,508,60
12,Female,35,367,93
13,Male,35,281,84
14,Female,30,177,37
15,Female,31,215,36
16,Male,37,201,20
17,Female,39,1156,28
18,Male,22,367,73
19,Female,50,1040,11
20,Female,28,1138,65
21,Female,33,879,71
22,Female,35,253,63
23,Female,44,985,65
24,Female,38,186,28
25,Female,18,197,82
26,Female,41,582,52
27,Male,24,390,91
28,Male,18,272,64
29,Male,38,542,40
30,Male,34,285,94
31,Male,31,897,62
32,Male,43,576,43
33,Male,46,658,55
34,Female,33,682,41
35,Male,38,540,47
36,Female,52,310,7
37,Male,42,638,51
38,Male,29,859,77
39,Female,42,850,64
40,Female,50,622,44
41,Female,43,293,18
42,Male,49,214,12
43,Male,39,548,55
44,Male,24,321,67
45,Female,29,923,55
46,Female,21,163,90
47,Male,51,384,37
48,Female,22,300,74
49,Male,33,400,42
50,Female,55,828,30
51,Female,47,174,35
52,Female,57,826,13
53,Male,47,273,34
54,Female,31,1085,57
55,Male,20,342,94
56,Male,25,544,46
57,Female,43,581,46
58,Female,55,284,40
59,Male,28,591,56
60,Male,57,949,14
61,Male,33,155,36
62,Male,32,827,61
63,Female,32,1039,57
64,Female,37,761,79
65,Female,23,203,63
66,Female,19,341,80
67,Male,42,936,25
68,Female,54,301,17
69,Male,33,1017,59
70,Female,31,1007,63
71,Male,29,812,78
72,Male,32,294,37
73,Female,27,572,52
74,Male,63,948,8
75,Female,33,475,48
76,Female,55,235,10
77,Female,31,391,68
78,Female,59,196,39
79,Female,50,155,39
80,Male,51,819,35
81,Female,60,1117,23
82,Male,57,210,23
83,Female,32,357,40
84,Female,39,1173,25
85,Female,27,546,59
86,Female,19,233,87
87,Male,33,182,18
88,Female,59,984,18
89,Male,48,516,45
90,Female,31,889,55
91,Female,55,216,28
92,Male,26,356,74
93,Female,28,495,44
94,Male,49,590,56
95,Female,42,792,30
96,Male,40,395,33
97,Male,49,411,49
98,Female,50,563,47
99,Female,37,764,5
100,Male,47,620,50
101,Female,40,830,74
102,Male,25,362,75
103,Female,32,341,21
104,Female,37,914,21
105,Male,28,352,83
106,Male,31,951,70
107,Female,41,336,26
108,Male,47,711,35
109,Male,29,207,81
110,Female,60,339,26
111,Male,32,256,67
112,Male,41,895,30
113,Male,41,1155,58
114,Male,27,846,74
115,Male,41,701,56
116,Male,38,622,59
117,Male,56,375,25
118,Male,57,1150,16
119,Male,44,1160,63
120,Female,35,939,70
121,Male,33,798,73
122,Female,57,307,33
123,Male,53,1126,9
124,Female,27,576,42
125,Female,58,1035,27
126,Female,35,258,12
127,Male,37,531,43
128,Female,58,1095,22
129,Male,44,616,52
130,Male,24,170,68
131,Female,22,248,81
132,Male,45,297,12
133,Male,34,418,46
134,Female,44,235,27
135,Female,35,938,6
136,Female,30,190,88
137,Female,64,817,20
138,Male,32,339,62
139,Male,45,452,55
140,Female,52,175,39
141,Female,36,952,23
142,Male,46,1099,30
143,Male,60,235,29
144,Female,36,572,52
145,Female,27,847,58
146,Male,20,355,76
147,Male,43,785,56
148,Male,49,685,56
149,Female,48,364,19
150,Female,43,231,6
151,Female,41,1141,74
152,Female,25,365,70
153,Female,25,1107,74
154,Male,30,983,66
155,Male,30,214,84
156,Male,21,253,83
157,Male,27,424,59
158,Male,43,933,66
159,Female,44,742,16
160,Female,50,1134,9
161,Female,45,602,44
162,Male,26,221,71
163,Male,62,757,27
164,Female,50,209,9
165,Male,34,652,45
166,Male,27,369,75
167,Female,41,954,60
168,Male,50,888,11
169,Male,24,271,78
170,Male,43,825,56
171,Male,35,260,83
172,Female,29,1071,56
173,Male,33,823,60
174,Male,29,238,86
175,Female,40,555,60
176,Male,60,795,5
177,Male,51,387,34
178,Male,57,374,25
179,Female,32,828,65
180,Female,39,1014,76
181,Female,39,1192,8
182,Male,58,1119,29
183,Male,52,1192,15
184,Female,39,799,6
185,Male,62,732,5
186,Female,60,304,6
187,Female,32,349,73
188,Male,29,535,55
189,Male,26,237,60
190,Female,48,1145,24
191,Female,40,1199,71
192,Female,65,768,26
193,Female,51,1175,31
194,Male,42,446,48
195,Female,27,852,72
196,Female,39,746,21
197,Female,35,953,34
198,Female,25,1003,66
199,Female,65,1093,30
200,Female,27,273,72
